Element, Nterminals, Nconductors, V_1, Ang_1, ...
"Load.load_r20185.2_model_1", 1, 2,    7477.45,  -154.78,          0,     0.00
"Load.load_r20185.3_model_1", 1, 2,    7546.54,    85.20,          0,     0.00
"Load.load_m1026695.1_model_1", 1, 2,    6218.61,   -43.18,          0,     0.00
"Load.load_m1026695.2_model_1", 1, 2,    6520.06,  -165.13,          0,     0.00
"Load.load_m1026695.3_model_1", 1, 2,     7034.7,    79.02,          0,     0.00
"Load.load_r42246.1_model_1", 1, 2,    6597.13,   -42.06,          0,     0.00
"Load.load_r42246.2_model_1", 1, 2,    6728.04,  -164.39,          0,     0.00
"Load.load_r42246.3_model_1", 1, 2,    7296.05,    79.43,          0,     0.00
"Load.load_190_7361.1_model_1", 1, 2,    7018.89,   -39.29,          0,     0.00
"Load.load_190_7361.2_model_1", 1, 2,    6861.69,  -159.71,          0,     0.00
"Load.load_190_7361.3_model_1", 1, 2,    7122.19,    80.01,          0,     0.00
"Load.load_regxfmr_190_8581.1_model_1", 1, 2,    6866.44,   -40.33,          0,     0.00
"Load.load_regxfmr_190_8581.2_model_1", 1, 2,    6932.39,  -161.92,          0,     0.00
"Load.load_regxfmr_190_8581.3_model_1", 1, 2,    7372.05,    80.55,          0,     0.00
